sep=,
BucketOwner,Bucket,Time,RemoteIP,Requester,RequestId,Operation,Key,Request-URI,HttpStatus,ErrorCode,BytesSent,ObjectSize,TotalTime,Turn-AroundTime,Referrer,User-Agent,VersionId
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:36:39 +0000,24.218.56.157,AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,D15F79EE593DCC61,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:36:39 +0000,24.218.56.157,AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,604468D0E1592E03,REST.GET.VERSIONING,-,"GET /bucket-aws-cli-lab-inline-bucket?versioning",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:36:39 +0000,24.218.56.157,AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,D37BDFB71B202B27,REST.GET.BUCKETACL,-,"GET /bucket-aws-cli-lab-inline-bucket?acl",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:36:39 +0000,24.218.56.157,AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,9C09A31AFFC5738D,REST.GET.PUBLICACCESS,-,"GET /bucket-aws-cli-lab-inline-bucket/?publicAccess",200,-,-,0,260,9,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:17 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,8868FFFDC492385F,REST.GET.BUCKET,-,"GET /bucket-aws-cli-lab-inline-bucket?list-type=2&delimiter=%2F&encoding-type=url&max-keys=300",200,-,-,0,11,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:17 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,7649A26FFC32F5B4,REST.GET.OBJECTLOCKING,-,"GET /bucket-aws-cli-lab-inline-bucket?object-lock",404,ObjectLockConfigurationNotFoundError,-,0,2,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:17 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,E69DBDF8901DAFBF,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:17 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,6C05A28E96D1F167,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,1,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,40296AFFEB913621,REST.GET.VERSIONING,-,"GET /bucket-aws-cli-lab-inline-bucket?versioning",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,0A2468B075240679,REST.GET.LOGGING,-,"GET /bucket-aws-cli-lab-inline-bucket?logging",200,-,-,0,1,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
